A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
1	#	#	#	#	1	0	0.0009863712048789912	0.250500200080032	4	0	9988	0	0.3333333333333333	0	626	2499
1	0	#	1	1	1	1	1.0	1.0	54	0	9985	1	0.8333333333333334	0	313	313
1	#	1	#	#	1	0	0.0009765625	0.25	2	0	9984	1	0.5	0	312	1248
#	0	#	#	1	1	0	0.0009883471081012364	0.25060048038430743	1	0	9986	2	0.5	0	313	1249
1	0	#	1	1	#	1	1.0	1.0	24	0	9998	2	0.6666666666666666	0	625	625
#	0	#	1	1	1	1	0.2373046875	0.75	13	0	9985	2	0.6666666666666666	0	468	624
0	#	0	#	1	#	1	0.0009883471081012364	0.25060048038430743	2	0	9987	3	0.5	0	313	1249
1	0	#	#	0	#	0	1.0	1.0	30	0	9992	5	0.5	0	1250	1250
1	#	#	1	1	1	1	1.0	1.0	33	0	9985	5	0.6666666666666666	0	624	624
0	0	0	1	1	#	1	0.0	0.0	4	0	5	5	0.8333333333333334	0	0	312
#	1	#	0	#	#	0	0.23762151614310076	0.7502001601281025	8	0	9991	6	0.3333333333333333	0	1874	2498
#	#	0	#	1	#	1	0.03125	0.5	1	0	9987	6	0.3333333333333333	0	1248	2496
1	#	0	1	1	1	1	1.0	1.0	32	0	9966	8	0.8333333333333334	0	312	312
0	0	#	#	1	#	1	0.03125	0.5	6	0	9982	8	0.5	0	624	1248
0	0	0	0	#	1	0	1.0	1.0	45	0	9993	9	0.8333333333333334	0	313	313
1	0	0	1	1	1	0	0.0	0.0	4	0	9	9	1.0	0	0	156
#	#	1	#	#	0	0	0.031125199840063986	0.4996	2	0	9994	10	0.3333333333333333	0	1249	2500
#	0	#	#	0	#	1	0.0009863712048789912	0.250500200080032	1	0	9999	10	0.3333333333333333	0	626	2499
#	0	1	#	1	1	0	0.0	0.0	5	0	10	10	0.6666666666666666	0	0	624
#	1	#	#	0	1	1	0.23762151614310076	0.7502001601281025	9	0	9996	12	0.5	0	937	1249
0	0	0	0	0	1	0	1.0	1.0	28	0	9993	12	1.0	0	156	156
#	0	#	#	#	#	0	0.03121873124124901	0.4998998998998999	2	0	9997	13	0.16666666666666666	0	2497	4995
1	0	#	#	1	1	1	1.0	1.0	45	0	9985	13	0.6666666666666666	0	624	624
#	0	#	1	1	1	0	0.0009765625	0.25	4	0	9961	13	0.6666666666666666	0	156	624
1	#	0	1	#	#	1	0.03125	0.5	5	0	9967	14	0.5	0	624	1248
0	0	#	#	1	1	1	0.03125	0.5	15	0	9982	14	0.6666666666666666	0	312	624
0	0	0	0	#	#	0	1.0	1.0	34	0	9997	16	0.6666666666666666	0	624	624
#	0	#	0	1	1	1	0.23667052247664122	0.7495987158908507	22	0	9958	19	0.6666666666666666	0	467	623
#	1	#	#	#	#	0	0.03128133145928236	0.5001002204850672	4	0	9994	19	0.16666666666666666	0	2495	4989
#	#	#	#	#	1	1	0.09538655638119652	0.6250250651694406	2	0	9996	20	0.16666666666666666	0	3117	4987
1	0	#	#	#	1	1	0.031124900080641994	0.4995990376904571	9	0	9985	21	0.5	0	623	1247
1	0	#	1	0	#	0	1.0	1.0	33	0	9989	23	0.6666666666666666	0	624	624
1	#	0	#	1	1	1	1.0	1.0	33	0	9966	24	0.6666666666666666	0	622	622
1	#	#	1	#	1	1	0.23667052247664122	0.7495987158908507	13	0	9985	24	0.5	0	934	1246
#	#	#	1	#	#	0	0.007413293448079429	0.37497493483055944	1	0	9994	25	0.16666666666666666	0	1870	4987
1	0	0	#	1	1	1	1.0	1.0	39	0	9942	25	0.8333333333333334	0	310	310
#	#	#	1	1	#	1	0.2376220245601415	0.7502004811547714	4	0	9998	28	0.3333333333333333	0	1871	2494
1	0	#	1	#	1	0	0.0315016090063042	0.5008025682182986	3	0	9988	28	0.6666666666666666	0	312	623
1	1	#	1	1	1	1	1.0	1.0	47	0	9966	31	0.8333333333333334	0	311	311
1	0	#	1	#	1	1	0.0310000012851328	0.49919743178170145	8	0	9985	32	0.6666666666666666	0	311	623
1	#	0	0	1	1	1	1.0	1.0	23	0	9955	32	0.8333333333333334	0	311	311
1	#	#	#	#	1	1	0.23619445497967914	0.7492969063881076	7	0	9985	33	0.3333333333333333	0	1865	2489
0	#	#	#	1	1	1	0.03125	0.5	7	0	9987	34	0.5	0	623	1246
#	0	#	#	1	1	1	0.2363531863705932	0.7493975903614458	11	0	9985	35	0.5	0	933	1245
0	#	0	1	#	0	1	0.031755652923766926	0.5016077170418006	10	0	9974	36	0.6666666666666666	0	312	622
#	#	0	1	#	1	1	0.09490908212932556	0.6243980738362761	8	0	9987	36	0.5	0	778	1246
0	#	#	#	#	0	1	0.03143878317985381	0.5006026516673363	3	0	9999	36	0.3333333333333333	0	1246	2489
0	0	#	0	1	1	1	0.030750808994854082	0.4983922829581994	2	0	9950	37	0.8333333333333334	0	155	311
#	#	#	0	1	1	1	0.09460204690352732	0.6239935587761675	8	0	9958	38	0.5	0	775	1242
0	0	#	#	#	#	1	0.03125	0.5	6	0	9999	40	0.3333333333333333	0	1245	2490
1	#	#	1	1	0	1	0.03125	0.5	5	0	9998	40	0.6666666666666666	0	312	624
0	0	0	1	#	#	1	0.0	0.0	4	0	41	41	0.6666666666666666	0	0	621
#	#	0	0	#	0	0	0.512321141733413	0.8747993579454254	10	0	9997	41	0.5	0	1090	1246
#	#	0	#	#	1	1	0.031124598877761263	0.4995980707395498	1	0	9987	42	0.3333333333333333	0	1243	2488
0	#	#	#	1	0	1	0.03137590636381696	0.500402252614642	4	0	9981	42	0.5	0	622	1243
#	0	#	#	#	0	1	0.03137570377968411	0.5004016064257029	1	0	9999	43	0.3333333333333333	0	1246	2490
1	0	#	#	1	#	1	1.0	1.0	30	0	9998	43	0.5	0	1244	1244
1	#	0	1	#	1	1	0.23667052247664122	0.7495987158908507	11	0	9967	45	0.6666666666666666	0	467	623
